,Random Forest,Gradient Boosting,SVR
RMSE,26.96116728539096,31.483573905750923,33.44704840993665
MAE,20.96812338587337,24.04795410567972,26.678194513088602
R²,0.364278349212273,0.13312261659516167,0.021625290610158943
