SKI_SEASON,SEASONAL_ONI
2013-2014,-0.1
2014-2015,0.9
2015-2016,1.5166666666666666
2016-2017,-0.31666666666666665
2017-2018,-0.5
2018-2019,0.7000000000000001
2019-2020,0.15000000000000002
2020-2021,-0.9500000000000001
2021-2022,-0.9666666666666668
2022-2023,0.016666666666666687
2023-2024,1.0833333333333333
2024-2025,-0.4666666666666666
2025-2026,
