Resort,Season,Opening_Date,Closing_Date,Season_Length,Preseason_Snow,Preseason_Prcp,Preseason_Freeze_Days,Snow_Depth_At_Opening,Seasonal_ONI,Total_Season_Snow,Total_Season_Prcp,Season_Freeze_Days,Season_Avg_Tmax,Season_Avg_Tmin,ONI_Condition,Snow_Category,Opening_Winter_Day,Preseason_Snow_Quartile
Heavenly,2014/2015,2014-11-21,2015-04-19,149,0.9166666666666666,0.3728571428571429,18,0.0,0.9,19.8,9.325714285714286,138,49.56460317460317,25.459365079365078,El Niño,Low Snow,21,Q1 (Lowest)
Heavenly,2015/2016,2015-11-21,2016-04-24,155,10.950000000000001,2.252857142857143,19,0.3333333333333333,1.5166666666666666,133.78333333333333,20.458571428571428,144,44.64911477411478,22.34539072039072,El Niño,High Snow,21,Q4 (Highest)
Heavenly,2016/2017,2016-11-23,2017-04-30,158,1.1333333333333333,0.8342857142857144,19,0.0,-0.31666666666666665,212.7866666666667,46.358809523809526,150,41.54702006588799,21.69736448038335,Neutral,High Snow,23,Q1 (Lowest)
Heavenly,2017/2018,2017-11-17,2018-04-22,156,0.0,3.965,12,0.0,-0.5,114.78166666666668,17.24595238095238,144,45.29353958143768,21.68398544131028,La Niña,High Snow,17,Q1 (Lowest)
Heavenly,2018/2019,2018-11-16,2019-05-27,192,0.0,0.0,15,0.0,0.7000000000000001,217.545,33.22638095238095,170,43.807562299531206,23.454552183567728,El Niño,High Snow,16,Q1 (Lowest)
Heavenly,2019/2020,2019-11-27,2020-03-14,108,1.2666666666666666,0.19857142857142857,25,0.3333333333333333,0.15000000000000002,54.81333333333334,9.223095238095238,106,42.91550895587593,21.74744429882045,Neutral,Moderate Snow,27,Q2
Heavenly,2020/2021,2020-11-20,2021-04-18,149,8.413333333333334,2.568095238095238,18,1.8,-0.9500000000000001,83.29666666666667,8.906952380952381,150,44.94742857142857,20.598349206349205,La Niña,High Snow,20,Q3
Heavenly,2021/2022,2021-12-11,2022-04-24,134,3.416666666666667,1.6347619047619049,35,3.0,-0.9666666666666668,123.22666666666666,13.93947619047619,132,44.516543209876545,20.004656084656084,La Niña,High Snow,41,Q2
Heavenly,2022/2023,2022-11-12,2023-05-07,176,20.806666666666665,1.8947619047619049,10,7.666666666666667,0.016666666666666687,277.65,37.886809523809525,174,39.72760290556901,17.74774011299435,Neutral,High Snow,12,Q4 (Highest)
Heavenly,2023/2024,2023-11-21,2024-04-22,153,0.16666666666666666,1.665714285714286,16,0.0,1.0833333333333333,156.98333333333332,17.82338095238095,153,43.04802102659245,22.419016697588123,El Niño,High Snow,21,Q1 (Lowest)
Heavenly,2024/2025,2024-11-21,2025-04-28,158,2.841666666666667,0.7352380952380952,20,0.0,-0.4666666666666666,90.985,17.771619047619048,131,43.8065934065934,22.054878454878455,Neutral,High Snow,21,Q2
Palisades,2014/2015,2014-12-13,2015-04-26,134,4.050000000000001,3.592857142857143,35,0.3333333333333333,0.9,20.933333333333337,7.41,127,50.27283950617284,25.116754850088185,El Niño,Low Snow,43,Q3
Palisades,2015/2016,2015-11-12,2016-05-30,200,8.8,2.097142857142857,10,2.1666666666666665,1.5166666666666666,137.26666666666668,22.951428571428572,168,47.15411040037906,24.244254915896708,El Niño,High Snow,12,Q4 (Highest)
Palisades,2016/2017,2016-11-23,2017-07-15,234,1.1333333333333333,0.8342857142857144,19,0.0,-0.31666666666666665,214.63666666666666,47.77571428571429,162,51.04761904761905,27.456028368794332,Neutral,High Snow,23,Q1 (Lowest)
Palisades,2017/2018,2017-11-17,2018-05-28,192,0.0,3.965,12,0.0,-0.5,114.78166666666665,19.527142857142856,153,48.09099432519121,24.161337281026398,La Niña,High Snow,17,Q1 (Lowest)
Palisades,2018/2019,2018-11-16,2019-07-07,233,0.0,0.0,15,0.0,0.7000000000000001,217.54500000000002,33.61709523809524,171,48.411538461538456,26.33850223850224,El Niño,High Snow,16,Q1 (Lowest)
Palisades,2019/2020,2019-11-15,2020-03-14,120,0.0,0.0,13,0.0,0.15000000000000002,56.08,9.421666666666667,118,43.722983077528525,22.064698937426208,Neutral,Moderate Snow,15,Q1 (Lowest)
Palisades,2020/2021,2020-11-24,2021-05-16,173,8.446666666666667,2.5752380952380953,22,1.1666666666666667,-0.9500000000000001,84.19666666666666,9.133857142857144,160,47.813218390804586,22.24745484400657,La Niña,High Snow,24,Q3
Palisades,2022/2023,2022-11-18,2023-07-04,228,21.556666666666665,1.9604761904761905,16,4.0,0.016666666666666687,276.90000000000003,39.51252380952381,175,46.57090871283011,23.019099604907467,Neutral,High Snow,18,Q4 (Highest)
Palisades,2023/2024,2023-11-22,2024-05-27,187,0.16666666666666666,1.665714285714286,17,0.0,1.0833333333333333,164.8,19.064809523809522,171,46.13530901722392,24.075000000000003,El Niño,High Snow,22,Q1 (Lowest)
Palisades,2024/2025,2024-11-27,2025-06-03,188,4.308333333333334,2.2642857142857147,24,0.6,-0.4666666666666666,89.51833333333333,16.24257142857143,127,43.82627737226277,21.855683003128256,Neutral,High Snow,27,Q3
Sugar Bowl,2014/2015,2014-12-06,2015-03-21,105,3.6333333333333337,3.1942857142857144,29,0.0,0.9,14.533333333333333,6.072857142857142,99,48.4811320754717,24.840970350404316,El Niño,Low Snow,36,Q2
Sugar Bowl,2015/2016,2015-11-21,2016-04-24,155,10.950000000000001,2.252857142857143,19,0.3333333333333333,1.5166666666666666,133.78333333333333,20.458571428571428,144,44.64911477411478,22.34539072039072,El Niño,High Snow,21,Q4 (Highest)
Sugar Bowl,2016/2017,2016-11-25,2017-05-07,163,3.5,1.0142857142857142,21,1.1666666666666667,-0.31666666666666665,211.67000000000002,47.16023809523809,149,42.51204994192799,22.3024099883856,Neutral,High Snow,25,Q2
Sugar Bowl,2017/2018,2017-12-06,2018-04-15,130,3.3333333333333335,6.360714285714286,25,1.1666666666666667,-0.5,106.75833333333335,14.492380952380952,124,44.71566703017085,20.848636859323886,La Niña,High Snow,36,Q2
Sugar Bowl,2018/2019,2018-11-24,2019-04-21,148,4.5,1.0983333333333334,23,2.8,0.7000000000000001,208.22833333333335,30.199,142,40.170837328219875,21.45199744327261,El Niño,High Snow,24,Q3
Sugar Bowl,2019/2020,2019-11-29,2020-03-14,106,13.1,1.03,27,10.333333333333334,0.15000000000000002,42.980000000000004,8.391666666666666,104,43.152914997774815,21.932309746328436,Neutral,Moderate Snow,29,Q4 (Highest)
Sugar Bowl,2020/2021,2020-11-27,2021-04-18,142,8.446666666666667,2.5752380952380953,25,0.6666666666666666,-0.9500000000000001,83.26333333333334,8.899809523809523,143,44.98205128205127,20.547219447219447,La Niña,High Snow,27,Q3
Sugar Bowl,2021/2022,2021-12-15,2022-04-17,123,24.25,4.710238095238095,39,20.833333333333332,-0.9666666666666668,91.21,9.014000000000001,121,44.653955453148996,19.64600614439324,La Niña,High Snow,45,Q4 (Highest)
Sugar Bowl,2022/2023,2022-11-25,2023-04-30,156,21.556666666666665,1.9604761904761905,23,2.0,0.016666666666666687,272.23333333333335,37.07490476190476,155,39.26539278131636,17.389702760084926,Neutral,High Snow,25,Q4 (Highest)
Sugar Bowl,2023/2024,2023-12-01,2024-04-28,149,0.16666666666666666,1.6685714285714286,26,0.0,1.0833333333333333,157.2,18.177904761904763,147,43.60771428571429,23.030984126984126,El Niño,High Snow,31,Q1 (Lowest)
Sugar Bowl,2024/2025,2024-11-29,2025-04-19,141,4.425,2.3000000000000003,26,0.75,-0.4666666666666666,89.40166666666667,16.206857142857142,125,43.91746031746032,21.914285714285715,Neutral,High Snow,29,Q3
Kirkwood,2014/2015,2014-12-06,2015-04-19,134,3.6333333333333337,3.1942857142857144,29,0.0,0.9,17.083333333333336,6.504285714285714,127,49.772310405643736,25.062786596119928,El Niño,Low Snow,36,Q2
Kirkwood,2015/2016,2015-11-14,2016-04-17,155,8.8,2.097142857142857,12,0.5,1.5166666666666666,129.36666666666667,19.39857142857143,146,44.11889499389499,22.054029304029303,El Niño,High Snow,14,Q4 (Highest)
Kirkwood,2016/2017,2016-11-25,2017-04-16,142,3.5,1.0142857142857142,21,1.1666666666666667,-0.31666666666666665,209.86,45.27380952380952,136,40.57692307692308,21.047286047286047,Neutral,High Snow,25,Q2
Kirkwood,2018/2019,2018-11-24,2019-04-23,150,4.5,1.0983333333333334,23,2.8,0.7000000000000001,208.22833333333335,30.199,144,40.36630400504572,21.577514979501732,El Niño,High Snow,24,Q3
